code,state_coded,region
1,Alabama,South
2,Alaska,West
3,Arizona,West
4,Arkansas,South
5,California,West
6,Colorado,West
7,Connecticut,Northeast
8,Delaware,South
9,District of Columbia,South
10,Florida,South
11,Georgia,South
12,Hawaii,West
13,Idaho,West
14,Illinois,Midwest
15,Indiana,Midwest
16,Iowa,Midwest
17,Kansas,Midwest
18,Kentucky,South
19,Louisiana,South
20,Maine,Northeast
21,Maryland,South
22,Massachusetts,Northeast
23,Michigan,Midwest
24,Minnesota,Midwest
25,Mississippi,South
26,Missouri,Midwest
27,Montana,West
28,Nebraska,Midwest
29,Nevada,West
30,New Hampshire,Northeast
31,New Jersey,Northeast
32,New Mexico,West
33,New York,Northeast
34,North Carolina,South
35,North Dakota,Midwest
36,Ohio,Midwest
37,Oklahoma,South
38,Oregon,West
39,Pennsylvania,Northeast
40,Puerto Rico,
41,Rhode Island,Northeast
42,South Carolina,South
43,South Dakota,Midwest
44,Tennessee,South
45,Texas,South
46,Utah,West
47,Vermont,Northeast
48,Virginia,South
49,Washington,West
50,West Virginia,South
51,Wisconsin,Midwest
52,Wyoming,West
53,I do not reside in the United States,